frame,track_id,class_id,class_name,is_vehicle,conf,x1,y1,x2,y2,cx,cy,w,h
264,4,3,Car,True,0.428,826.1,440.3,1101.8,685.9,964.0,563.1,275.7,245.6
264,6,3,Car,True,0.479,674.5,475.5,788.2,588.9,731.4,532.2,113.8,113.4
265,4,3,Car,True,0.488,828.3,440.4,1105.8,687.2,967.0,563.8,277.4,246.7
265,6,3,Car,True,0.283,678.7,477.6,791.4,589.2,735.0,533.4,112.7,111.6
266,4,3,Car,True,0.45,829.2,440.8,1108.2,688.6,968.7,564.7,279.0,247.9
266,6,3,Car,True,0.315,680.9,477.3,795.3,590.3,738.1,533.8,114.4,113.0
267,4,3,Car,True,0.527,831.3,441.1,1113.1,690.8,972.2,565.9,281.8,249.8
267,6,3,Car,True,0.406,683.5,478.4,797.4,590.1,740.4,534.3,113.9,111.7
268,4,3,Car,True,0.563,833.1,441.2,1116.1,691.5,974.6,566.3,283.0,250.4
268,6,3,Car,True,0.262,684.8,477.4,798.7,588.9,741.8,533.1,113.9,111.4
269,4,3,Car,True,0.365,835.3,442.3,1117.0,690.8,976.1,566.6,281.7,248.5
269,6,3,Car,True,0.323,686.2,476.7,801.2,589.1,743.7,532.9,115.1,112.4
270,4,3,Car,True,0.405,836.1,441.6,1119.5,691.3,977.8,566.4,283.5,249.7
270,6,3,Car,True,0.287,687.0,476.2,802.9,589.2,744.9,532.7,115.9,113.0
271,4,3,Car,True,0.46,836.4,440.8,1121.5,691.9,979.0,566.3,285.1,251.2
272,4,3,Car,True,0.442,838.2,440.7,1124.9,693.2,981.6,567.0,286.7,252.5
272,6,3,Car,True,0.31,689.6,477.3,806.5,590.9,748.0,534.1,116.9,113.6
273,4,3,Car,True,0.302,838.6,439.7,1126.0,693.2,982.3,566.4,287.4,253.5
274,4,3,Car,True,0.418,839.2,437.4,1130.9,695.5,985.0,566.4,291.7,258.2
274,6,3,Car,True,0.367,692.2,479.1,810.5,593.6,751.4,536.3,118.3,114.5
275,4,3,Car,True,0.379,842.0,437.7,1135.7,698.2,988.8,568.0,293.8,260.6
275,6,3,Car,True,0.395,694.2,481.7,811.4,594.8,752.8,538.2,117.2,113.1
277,6,3,Car,True,0.446,696.6,482.5,816.8,597.9,756.7,540.2,120.2,115.4
278,6,3,Car,True,0.284,699.3,484.0,817.9,596.8,758.6,540.4,118.5,112.8
279,6,3,Car,True,0.72,700.2,483.8,821.4,598.6,760.8,541.2,121.2,114.8
280,6,3,Car,True,0.724,701.9,483.9,822.9,597.6,762.4,540.8,121.0,113.7
281,6,3,Car,True,0.64,704.0,484.2,824.8,597.0,764.4,540.6,120.8,112.8
281,4,3,Car,True,0.289,858.5,442.9,1149.0,700.1,1003.8,571.5,290.5,257.2
282,6,3,Car,True,0.708,705.0,485.2,826.7,598.5,765.8,541.9,121.7,113.2
282,4,3,Car,True,0.262,860.9,445.8,1150.3,701.1,1005.6,573.4,289.5,255.4
283,6,3,Car,True,0.646,704.9,486.0,828.6,600.9,766.8,543.4,123.8,114.9
283,4,3,Car,True,0.378,860.7,443.4,1153.8,701.8,1007.2,572.6,293.1,258.4
284,6,3,Car,True,0.529,704.4,486.0,831.1,604.1,767.7,545.0,126.7,118.1
284,4,3,Car,True,0.355,862.1,444.1,1155.7,702.6,1008.9,573.3,293.7,258.4
285,6,3,Car,True,0.276,706.4,487.3,830.0,602.2,768.2,544.7,123.6,114.9
285,4,3,Car,True,0.275,862.2,445.1,1161.0,707.8,1011.6,576.4,298.8,262.7
289,6,3,Car,True,0.269,707.4,485.4,842.6,612.7,775.0,549.0,135.2,127.3
290,6,3,Car,True,0.263,708.9,484.5,845.0,614.0,777.0,549.2,136.1,129.4
420,10,3,Car,True,0.367,1333.1,425.1,1550.2,563.8,1441.7,494.5,217.0,138.7
421,10,3,Car,True,0.581,1343.1,422.5,1565.2,564.3,1454.1,493.4,222.1,141.8
422,10,3,Car,True,0.587,1358.2,423.4,1580.8,565.3,1469.5,494.4,222.6,142.0
423,10,3,Car,True,0.516,1373.5,422.0,1596.2,563.8,1484.9,492.9,222.7,141.9
424,10,3,Car,True,0.568,1388.0,417.6,1614.7,562.0,1501.3,489.8,226.7,144.4
